follower,followed
39,155
61,28
88,4
93,142
53,33
79,204
201,129
37,55
3,107
186,176
41,67
32,60
96,205
31,103
168,14
26,29
2,180
107,35
98,90
175,191
128,53
15,67
129,22
192,80
149,166
127,68
47,74
197,17
73,133
186,99
115,72
37,119
123,28
155,9
21,46
175,32
127,165
100,176
83,51
188,163
149,178
91,52
44,190
68,174
76,8
35,59
74,47
196,83
93,98
135,90
44,136
194,110
88,73
4,107
25,109
45,88
28,129
33,188
61,29
86,203
46,21
2,58
67,20
191,175
204,158
178,19
121,95
127,208
57,172
135,100
107,137
7,4
200,149
192,3
111,37
205,98
186,203
129,189
163,176
123,195
135,168
124,171
127,22
64,127
85,141
6,148
207,24
206,80
46,170
138,77
48,137
200,119
82,62
193,143
3,119
207,19
148,22
91,53
44,20
207,11
64,81
199,186
187,173
19,56
203,5
208,109
30,161
99,111
106,69
193,67
4,163
57,200
203,55
43,32
95,7
178,149
186,191
139,200
204,20
79,94
117,29
202,9
5,182
201,97
24,132
29,193
206,106
61,199
41,53
154,139
23,2
64,126
72,155
200,146
99,182
10,143
18,40
34,141
42,181
55,159
18,195
187,101
68,196
99,186
182,99
70,155
73,101
136,101
164,28
204,79
170,4
60,47
1,3
110,194
72,151
70,173
11,207
4,187
6,58
183,96
132,91
36,71
31,62
79,5
86,99
83,196
32,114
106,143
165,201
60,58
88,22
176,69
24,190
106,3
179,26
190,195
159,167
18,2
117,110
106,97
53,38
71,98
141,85
100,57
110,197
29,117
168,96
103,31
166,194
28,172
2,18
102,45
36,111
149,140
52,199
4,87
203,186
117,157
188,99
180,147
163,105
17,86
22,151
16,90
81,203
19,178
90,175
147,184
30,98
42,154
81,90
85,148
43,111
14,32
27,14
193,172
200,57
9,22
41,198
105,83
204,202
152,91
201,66
185,203
88,133
102,59
127,151
91,9
132,24
193,128
179,46
165,75
152,71
74,68
13,26
151,89
203,101
118,52
17,197
147,123
14,2
79,108
137,108
130,201
57,142
113,69
44,205
158,45
54,147
51,104
108,88
171,204
155,181
45,84
32,23
21,14
203,111
186,41
199,61
65,167
20,19
207,132
171,5
3,35
148,66
1,110
132,127
22,157
175,60
188,33
161,131
181,47
20,44
32,175
98,50
154,172
94,48
36,60
80,32
80,133
193,165
199,5
54,128
161,5
191,189
6,186
174,47
107,53
157,117
163,28
126,21
52,71
32,43
5,168
67,80
143,85
126,74
64,93
37,27
88,100
58,23
6,17
127,132
113,179
25,34
169,16
92,141
164,29
155,151
28,207
162,175
74,126
169,90
39,73
2,171
39,152
132,146
46,57
127,101
159,103
154,135
55,46
186,6
48,202
163,4
114,95
174,68
38,46
69,176
58,8
184,62
58,6
97,106
22,9
117,109
59,194
57,77
187,88
91,78
21,79
13,5
63,114
79,12
55,170
2,140
192,44
153,66
111,103
51,39
185,199
6,115
175,159
113,47
161,154
35,170
33,38
127,64
140,85
204,33
59,102
159,52
124,163
19,111
204,207
82,71
13,21
148,127
101,136
17,141
169,99
36,91
36,6
77,57
20,204
129,75
108,137
99,188
159,95
140,155
41,186
60,8
157,187
50,98
80,106
198,129
187,48
119,3
98,86
81,199
195,12
102,111
38,140
179,69
4,207
39,4
45,103
72,43
121,7
208,137
22,159
201,156
172,70
193,5
13,131
92,182
99,86
119,37
32,14
86,98
84,88
28,69
127,70
187,100
203,86
55,37
155,72
67,41
57,63
4,7
168,31
89,62
26,64
151,127
96,86
208,61
17,34
204,74
38,25
82,80
120,203
95,159
139,204
189,129
3,192
178,85
144,188
152,130
96,168
202,129
186,44
201,54
48,56
123,109
69,28
179,113
119,88
171,163
103,206
14,27
170,55
137,61
7,1
28,204
20,186
40,125
2,52
41,117
158,62
203,81
175,171
165,156
94,138
6,23
4,155
36,161
59,112
44,192
142,204
64,41
129,88
53,41
56,202
37,15
42,113
79,114
200,109
6,65
21,26
179,55
93,64
73,88
138,94
203,79
46,38
199,159
47,50
52,118
94,137
48,94
49,186
188,179
49,24
193,150
172,4
89,199
176,152
189,55
148,191
58,208
101,203
48,187
17,96
26,13
33,58
106,95
111,19
135,155
203,185
103,91
85,66
190,20
92,85
69,200
96,11
11,96
44,73
112,123
127,148
63,141
83,105
134,74
29,164
40,102
148,126
157,33
138,93
176,154
67,198
174,51
141,92
181,113
53,128
155,34
11,19
135,154
197,188
111,86
186,19
67,5
108,5
110,180
202,4
174,50
100,135
192,149
162,189
33,112
92,168
199,12
57,100
51,66
5,161
135,92
137,107
141,139
94,91
119,200
85,139
84,128
169,186
98,93
187,106
200,112
98,30
57,109
146,75
141,58
173,114
85,202
174,104
45,195
70,127
169,19
10,112
52,159
181,42
86,35
172,193
115,43
5,2
193,156
132,168
59,186
135,176
111,56
193,119
7,107
37,111
200,69
184,147
92,123
38,120
187,130
201,132
171,2
171,65
147,145
60,206
14,21
159,162
146,91
33,204
128,84
144,29
46,64
22,129
112,144
130,187
123,112
201,165
132,207
99,39
107,179
54,65
141,78
28,123
131,13
1,117
171,54
51,73
136,205
172,173
45,159
88,87
157,94
111,15
140,2
199,182
111,36
63,144
148,85
117,43
77,143
176,208
52,34
34,164
18,45
92,58
186,49
190,44
82,67
116,194
208,25
42,170
200,62
65,6
75,165
117,41
114,173
32,80
200,204
188,105
190,12
143,106
131,161
67,15
14,79
199,81
90,98
208,58
140,92
91,6
4,170
173,187
92,135
103,80
47,136
175,90
189,201
58,2
38,8
190,90
52,62
40,18
139,28
21,191
126,13
61,79
149,85
156,165
88,119
79,14
162,146
91,103
125,40
3,149
112,109
116,84
121,24
140,149
17,1
186,59
93,59
152,176
122,109
44,80
4,202
73,187
119,193
55,179
37,183
103,78
58,60
187,201
79,95
198,10
9,194
129,66
88,66
4,172
195,18
207,23
39,51
111,99
188,107
139,154
136,47
60,36
127,89
72,115
117,193
45,123
169,133
129,115
164,56
74,196
110,74
193,185
107,3
123,129
64,148
63,188
112,200
165,60
47,65
147,54
100,162
170,171
77,193
193,54
51,174
73,114
8,38
8,76
172,75
158,200
4,57
199,106
97,190
110,147
196,51
88,1
71,52
68,5
36,206
172,154
95,106
173,106
195,74
55,162
23,112
201,115
103,111
129,202
192,158
164,34
64,208
71,82
187,73
206,29
182,92
156,193
159,22
145,46
34,62
127,155
48,51
168,56
70,71
91,130
157,43
25,208
38,53
109,118
26,179
20,202
159,45
4,10
146,175
203,176
114,79
203,120
207,157
206,103
131,5
91,152
123,92
200,158
79,157
22,142
98,35
194,197
183,27
26,46
10,85
129,142
24,140
207,32
186,169
28,113
75,129
199,185
91,132
171,175
100,208
204,28
176,8
102,86
41,64
42,192
73,44
41,200
154,176
71,161
185,48
63,57
49,190
185,109
194,38
90,123
98,49
81,67
145,147
205,160
23,208
170,42
2,5
203,109
54,193
50,5
207,4
57,146
79,199
10,4
87,4
56,168
62,8
7,158
61,167
115,17
160,205
186,199
91,146
112,208
30,49
143,185
183,7
75,60
80,69
75,92
155,90
84,45
66,129
66,201
91,36
154,42
23,114
1,88
138,112
202,85
98,128
3,106
93,138
157,207
123,90
162,100
53,101
204,195
202,187
158,192
25,155
200,74
50,168
207,203
31,95
38,153
108,79
88,157
142,59
142,171
41,95
193,122
20,29
69,204
52,167
176,163
23,180
54,201
149,200
34,172
119,66
24,207
119,157
133,169
68,101
92,140
34,57
69,8
45,102
200,166
77,112
188,197
34,56
208,93
27,168
165,127
57,114
153,51
180,110
4,39
19,23
189,97
52,98
119,145
47,60
204,139
152,70
20,67
74,110
167,65
159,175
180,100
88,108
26,61
198,162
195,190
91,194
7,183
199,52
34,17
59,170
180,3
62,82
125,102
186,39
194,116
23,32
175,162
167,79
191,148
81,159
4,171
2,23
185,193
47,174
138,135
157,79
171,68
113,181
186,207
33,157
111,43
33,10
151,22
79,26
128,98
90,67
96,17
28,61
117,183
54,123
74,200
158,204
97,189
109,122
21,186
11,203
24,121
46,140
51,84
3,180
145,119
14,52
40,45
193,77
66,132
144,63
185,122
95,121
145,57
8,62
61,26
138,176
28,143
194,84
154,161
139,164
115,6
129,201
148,64
95,31
114,73
52,91
118,109
48,185
9,91
205,96
183,37
88,129
117,1
59,144
132,31
120,38
186,148
74,134
133,99
145,101
53,107
51,48
113,28
181,155
176,186
33,187
195,204
88,187
41,207
101,79
55,171
101,145
58,38
146,200
4,32
7,96
7,17
107,101
58,93
163,172
96,19
4,75
202,142
52,106
29,19
45,158
100,189
87,57
34,52
56,48
154,200
102,88
51,153
153,25
46,145
3,1
159,55
9,155
176,100
106,80
120,5
199,62
68,171
84,51
24,49
171,124
70,172
84,187
146,162
106,206
171,142
77,146
186,20
46,26
207,146
194,59
81,64
117,200
92,75
63,78
9,202
62,184
128,187
100,180
29,144
140,24
113,42
